"DateTime","horizon","TTT","Rad1h","Neff","RR1c","FF","FX1","HU_Load_DayAhead","HU_Load_Actual","DateTimeCET","SummerTime","HoD","DoW","DoY","HoDDST","DoWDST","DoYDST","AT_Load_Actual","DE_Load_Actual","CZ_Load_Actual","SK_Load_Actual","SI_Load_Actual","is_holiday","x_lag_24","x_lag_168"
2022-12-28 19:00:00,11,273.783333333333,0,40.6666666666667,0,2.05666666666667,3.94666666666667,NA,5558.0681722245,2022-12-28 20:00:00,0,19,3,362,20,3,362,7803.38259951059,63913.5334599583,8274.61669556653,3361.96505789349,1738.30206625383,"0",5478.92570364789,5589.74302536453
2022-12-28 20:00:00,12,273.316666666667,0,38.3333333333333,0,2.05666666666667,3.94666666666667,NA,5232.28944401695,2022-12-28 21:00:00,0,20,3,362,21,3,362,7331.25170717963,60260.1347371232,7820.60652630986,3190.66897254186,1615.81934265828,"0",5171.28703170161,5263.74710715545
2022-12-28 21:00:00,13,272.983333333333,0,38.3333333333333,0,2.05666666666667,3.94666666666667,NA,4976.16332827452,2022-12-28 22:00:00,0,21,3,362,22,3,362,7041.11581585905,57253.4809352168,7322.94722593175,3010.91286812653,1499.36788723521,"0",4928.71846390293,5018.60340581508
2022-12-28 22:00:00,14,272.683333333333,0,38.6666666666667,0,2.05666666666667,4.28666666666667,NA,4670.49691221383,2022-12-28 23:00:00,0,22,3,362,23,3,362,6683.42209175281,54043.9202278811,6928.12832883036,2850.55613861437,1400.27504223528,"0",4625.45916257966,4721.49995371538
2022-12-28 23:00:00,15,272.383333333333,0,39,0,2.22666666666667,4.11333333333333,NA,4670.49691221383,2022-12-29 00:00:00,0,23,3,362,0,4,363,6285.00289185565,51229.6225912109,6931.62222947999,2714.34502850316,1318.3176712811,"0",NA,NA
2022-12-29 00:00:00,16,272.183333333333,0,41,0,2.4,4.11333333333333,NA,4167.47490386696,2022-12-29 01:00:00,0,0,4,363,1,4,363,5984.65234711004,48947.4997236308,7009.57501685624,2627.77101195607,1268.70263001959,"0",4130.47458760656,4179.97254650305
2022-12-29 01:00:00,17,272.116666666667,0,40.6666666666667,0,2.4,3.94333333333333,NA,4036.54437293097,2022-12-29 02:00:00,0,1,4,363,2,4,363,5860.65372062162,47830.3830375712,6938.03975596125,2604.47856823711,1241.66710779676,"0",3991.20175314506,4050.01493560881
2022-12-29 02:00:00,18,271.916666666667,0,42,0,2.22666666666667,4.11666666666667,NA,3985.92847577871,2022-12-29 03:00:00,0,2,4,363,3,4,363,5793.20296644787,47871.8180948493,6931.11625718397,2623.23937847516,1234.25340655435,"0",3945.51525568687,3999.91170401522
2022-12-29 03:00:00,19,271.883333333333,0,43.3333333333333,0,2.4,4.28333333333333,NA,4032.09483714223,2022-12-29 04:00:00,0,3,4,363,4,4,363,5878.45099490102,48790.9190331399,7072.06944077475,2717.44256496022,1274.60690535813,"0",4002.03722280061,4030.31639844206
2022-12-29 04:00:00,20,272.016666666667,0,46,0,2.4,4.45666666666667,NA,4216.7354100375,2022-12-29 05:00:00,0,4,4,363,5,4,363,6296.73564956158,52257.0188673583,7372.28564892235,2899.68450021945,1416.09748435784,"0",4196.07356375042,4231.86184212101
2022-12-29 05:00:00,21,272.05,0,48.6666666666667,0,2.4,4.62666666666667,NA,4718.24827514897,2022-12-29 06:00:00,0,5,4,363,6,4,363,7129.68576431668,57884.7632289565,7940.38591697774,3170.46580385934,1632.79542582175,"0",4706.41556573988,4752.88328394202
2022-12-29 06:00:00,22,272.316666666667,0,57.3333333333333,0,2.4,4.45666666666667,NA,5095.28571718652,2022-12-29 07:00:00,0,6,4,363,7,4,363,7988.40771296084,63604.8758290684,8402.33769241837,3355.70816400954,1786.3169811972,"0",5067.9847165213,5144.55648333533
2022-12-29 07:00:00,23,272.95,10,60.6666666666667,0,2.4,4.45666666666667,NA,5295.60295100198,2022-12-29 08:00:00,0,7,4,363,8,4,363,8431.71380357951,66921.6990614696,8617.42482509508,3474.24371076661,1818.45800045056,"0",5264.49755513938,5326.56348103149
2022-12-29 08:00:00,24,274.016666666667,170,62.3333333333333,0,2.74333333333333,4.62666666666667,NA,5367.35420309165,2022-12-29 09:00:00,0,8,4,363,9,4,363,8570.00131424384,67838.662111087,8740.59847744789,3537.09599380616,1789.22832369532,"0",5332.04726316408,5411.9715115524
2022-12-29 09:00:00,1,275.55,500,66.3333333333333,0,2.57333333333333,6.17666666666667,NA,5264.35441857544,2022-12-29 10:00:00,0,9,4,363,10,4,363,8599.12827349163,68621.4776145612,8750.1242197225,3528.88433169852,1769.35290765892,"0",5220.96265310567,5338.83979455445
2022-12-29 10:00:00,2,276.75,720,68.6666666666667,0,2.74666666666667,6.34333333333333,NA,5346.69892903362,2022-12-29 11:00:00,0,10,4,363,11,4,363,8600.76270223139,69331.370144132,8797.21388241437,3569.31627232323,1768.2449067115,"0",5318.23223224351,5414.92200394443
2022-12-29 11:00:00,3,277.75,830,71,0,3.26,5.83,NA,5442.60335220643,2022-12-29 12:00:00,0,11,4,363,12,4,363,8529.23488152016,69711.0893142147,8818.06070720686,3543.4683175378,1752.13112152423,"0",5415.50181138135,5492.89172882099
2022-12-29 12:00:00,4,278.65,790,72.3333333333333,0,3.08666666666667,5.65666666666667,NA,5498.35977053052,2022-12-29 13:00:00,0,12,4,363,13,4,363,8385.25922373095,69293.2747397008,8776.92220677944,3502.34932505733,1716.35417053609,"0",5512.77139051919,5499.68549758691
2022-12-29 13:00:00,5,278.916666666667,660,74,0,3.08666666666667,5.65666666666667,NA,5467.25512941083,2022-12-29 14:00:00,0,13,4,363,14,4,363,8240.90831042489,67764.7475831269,8669.5503799751,3461.02442826074,1694.86928951189,"0",5403.09308393252,5494.97772442885
2022-12-29 14:00:00,6,278.75,430,77,0,2.91666666666667,5.31666666666667,NA,5600.84525068686,2022-12-29 15:00:00,0,14,4,363,15,4,363,8200.16504254132,66671.5290525166,8645.35605362551,3442.37330476237,1711.98090058848,"0",5530.49832033826,5604.21514473617
2022-12-29 15:00:00,7,278.45,150,78,0,2.74333333333333,4.97333333333333,NA,5786.8588124294,2022-12-29 16:00:00,0,15,4,363,16,4,363,8274.87425180556,66767.1711241158,8701.16899299291,3514.22654144928,1759.31995057064,"0",5730.4815597739,5776.22578480239
2022-12-29 16:00:00,8,278.116666666667,0,80,0,2.91666666666667,5.31666666666667,NA,5850.60206528225,2022-12-29 17:00:00,0,16,4,363,17,4,363,8474.31932720233,67824.0951116356,8641.93605710769,3520.85959045962,1803.55438186722,"0",5801.53478567305,5836.61522197411
